Order Date,Region,Category,Sales,Profit
10-07-2024,South,Technology,1402.66,470.39
27-04-2024,South,Office Supplies,318.86,-59.12
02-02-2025,South,Technology,232.63,12.28
12-05-2024,South,Furniture,572.05,22.98
14-02-2025,East,Technology,992.23,385.83
01-03-2025,East,Technology,504.99,168.13
29-04-2024,West,Technology,977.76,122.6
27-05-2024,Central,Furniture,536.83,-20.43
01-11-2024,West,Technology,387.08,15.22
14-12-2024,Central,Technology,664.96,198.92
28-08-2024,West,Furniture,913.08,2.41
28-06-2024,West,Furniture,823.74,30.27
05-03-2025,Central,Furniture,1015.55,48.54
18-12-2024,South,Furniture,223.83,36.97
06-11-2024,West,Technology,1459.77,172.12
17-06-2024,Central,Furniture,545.2,72.06
15-05-2024,Central,Technology,1299.62,-245.47
06-10-2024,East,Technology,195.04,-29.24
25-05-2024,East,Office Supplies,833.11,2.68
21-10-2024,South,Furniture,339.1,-0.94
24-05-2024,East,Furniture,1145.77,159.39
20-04-2024,West,Furniture,1115.57,29.75
01-03-2025,West,Furniture,528.6,60.15
08-07-2024,West,Furniture,231.18,57.1
15-12-2024,Central,Office Supplies,1475.9,272.52
